RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250001,Amundsen High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1486,27.0,,,,52.1,32.0,31.1,55.7,2022
150162990250003,Bogan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,746,21.1,,,,77.1,7.6,2.7,10.2,2022
150162990250006,Carver Military Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,407,20.3,,,,49.1,9.0,7.2,29.3,2022
150162990250011,Farragut Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,495,24.5,,,,80.3,4.0,8.0,13.6,2022
150162990250012,Fenger Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,237,22.8,,,,84.2,4.5,0.9,7.2,2022
150162990250013,Foreman High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,567,23.7,,,,71.9,7.3,5.6,20.0,2022
150162990250014,Back of The Yards IB HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1052,22.8,,,,51.0,19.4,25.1,28.6,2022
150162990250015,Gage Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,300,17.1,,,,70.7,3.7,2.2,15.0,2022
150162990250016,Harlan Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,297,23.7,,,,84.4,4.5,3.4,5.0,2022
150162990250019,Hirsch Metropolitan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,78,15.0,,,,74.7,8.8,3.5,10.8,2022
150162990250020,Hubbard High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1809,27.6,,,,67.3,8.6,7.8,22.6,2022
150162990250021,Hyde Park Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,695,21.6,,,,70.5,3.6,3.0,7.6,2022
150162990250022,Thomas Kelly College Preparatory,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1721,23.4,,,,63.9,9.2,12.1,25.9,2022
150162990250023,Kelvyn Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,489,21.2,,,,73.0,3.4,2.2,17.0,2022
150162990250024,Kennedy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1485,26.4,,,,66.5,14.1,9.3,29.5,2022
150162990250025,Kenwood Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2240,28.7,,,,33.0,37.3,35.1,82.4,2022
150162990250026,Lake View High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1432,27.6,,,,65.4,15.0,14.2,24.6,2022
150162990250027,Lane Technical High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,4380,28.6,,,,29.0,87.4,89.0,81.5,2022
150162990250029,Marshall Metropolitan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,185,17.7,,,,86.8,8.8,3.0,8.9,2022
150162990250030,Mather High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1702,24.7,,,,60.5,9.7,15.5,19.1,2022
150162990250031,Morgan Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1138,20.6,,,,82.1,8.9,2.2,23.1,2022
150162990250034,Phillips Academy High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,505,24.5,,,,87.5,2.7,0.7,1.9,2022
150162990250035,Roosevelt High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1009,26.9,,,,66.6,5.6,4.6,14.4,2022
150162990250036,Schurz High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1386,25.3,,,,74.5,7.4,6.9,19.3,2022
150162990250037,Senn High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1521,25.0,,,,55.3,24.6,20.3,18.9,2022
150162990250039,King College Prep High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,623,26.3,,,,39.9,12.6,19.4,25.3,2022
150162990250041,Steinmetz College Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1145,26.4,,,,75.5,7.0,6.3,22.2,2022
150162990250042,Sullivan High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,567,19.2,,,,61.6,5.2,5.2,6.0,2022
150162990250043,Taft High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,4100,28.2,,,,50.6,31.9,32.7,37.6,2022
150162990250044,Tilden Career Communty Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,178,15.7,,,,82.1,5.0,3.3,2.0,2022
150162990250046,Von Steuben Metro Science HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1673,26.6,,,,43.7,32.4,34.8,42.0,2022
150162990250047,Lincoln Park High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,2060,26.3,,,,52.1,47.3,44.6,59.5,2022
150162990250048,Washington G High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1530,28.9,,,,68.6,7.8,7.1,23.7,2022
150162990250049,Wells Community Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,312,22.2,,,,75.4,2.4,2.4,1.5,2022
150162990250052,Crane Medical Prep HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,399,21.5,,,,83.4,1.9,3.9,13.4,2022
150162990250053,Disney II Magnet HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,777,18.3,,,,54.5,25.1,16.7,33.5,2022
150162990250526,Chicago Vocational Career Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,659,23.0,,,,70.4,1.9,0.6,6.3,2022
150162990250531,Dunbar Vocational Career Acad HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,489,27.3,,,,85.3,0.0,0.0,5.0,2022
150162990250533,Jones College Prep High School,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1954,27.8,,,,38.6,90.8,90.2,77.7,2022
150162990250534,Prosser Career Academy HS,City of Chicago SD 299,Chicago,Cook,HIGH SCHOOL,1110,27.0,,,,62.3,13.2,14.8,34.0,2022
