RCDTS,school_name,district,city,county,school_type,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,year
150162990250001,Amundsen High School,Chicago Public Schools District 299,Chicago,Cook,High School,1500,27.6,12.2,2.0,60.0,,49.7,38.6,38.7,48.5,2024
150162990250003,Bogan High School,Chicago Public Schools District 299,Chicago,Cook,High School,575,18.5,16.0,1.9,50.0,,65.6,6.0,*,12.3,2024
150162990250006,Carver Military Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,407,21.7,14.5,3.3,31.1,,57.9,*,*,22.9,2024
150162990250011,Farragut Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,490,24.8,12.2,12.2,42.2,,84.6,*,*,15.8,2024
150162990250012,Fenger Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,203,18.9,12.4,4.4,68.9,,77.7,*,*,*,2024
150162990250013,Foreman High School,Chicago Public Schools District 299,Chicago,Cook,High School,615,23.5,14.4,7.7,38.5,,68.9,*,*,11.6,2024
150162990250014,Back of The Yards IB HS,Chicago Public Schools District 299,Chicago,Cook,High School,1000,23.9,8.3,16.7,64.1,,44.6,16.9,16.9,34.9,2024
150162990250015,Gage Park High School,Chicago Public Schools District 299,Chicago,Cook,High School,346,21.5,8.7,18.2,60.6,,82.2,*,*,*,2024
150162990250016,Harlan Community Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,206,13.4,13.7,10.0,30.0,,80.4,*,*,*,2024
150162990250019,Hirsch Metropolitan High School,Chicago Public Schools District 299,Chicago,Cook,High School,105,17.2,11.4,15.8,47.4,,81.0,*,*,*,2024
150162990250020,Hubbard High School,Chicago Public Schools District 299,Chicago,Cook,High School,1666,25.5,13.0,1.8,42.5,,77.9,7.5,5.6,18.5,2024
150162990250021,Hyde Park Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,809,22.8,14.8,1.9,54.7,,86.0,*,*,*,2024
150162990250022,Thomas Kelly College Preparatory,Chicago Public Schools District 299,Chicago,Cook,High School,1685,23.8,16.2,4.7,34.6,,66.7,8.6,5.0,19.0,2024
150162990250023,Kelvyn Park High School,Chicago Public Schools District 299,Chicago,Cook,High School,492,24.4,7.9,11.1,44.4,,73.6,*,*,11.2,2024
