school_name,year,district,city,county,enrollment,avg_class_size,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,pupil_teacher_ratio,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,zip,address_longitude,address_latitude,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,year_right,school_name_right,neighborhood
ASPIRA Charter - Early College Prep HS,2019,,,,1415.8,,,,,,,32.02,28.54,26.799999999999994,60618.0,,,,,,,,78.412,928.1200000000001,,79.03600000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRA Charter - Early College Prep HS,2020,,,,1426.4,,,,,,,28.808,24.0,30.032,60618.0,,,,,,,,81.76400000000001,928.6,,77.78800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRA Charter - Early College Prep HS,2021,,,,1424.6,,,,,,,27.840000000000003,24.66,24.279999999999998,60618.0,,,,,,,,79.436,895.0799999999999,,77.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRA Charter - Early College Prep HS,2022,,,,1267.6,,,,,,,31.2,28.04,35.74,60618.0,,,,,,,,77.548,943.32,,77.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRA Charter - Early College Prep HS,2023,,,,1435.4,,,,,,,28.22,24.44,33.36,60618.0,,,,,,,,76.428,926.9200000000001,,76.66000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASPIRA Charter - Early College Prep HS,2024,Chicago Public Schools District 299,Chicago,Cook,255.0,19.1,1.2,85.1,74.6,,57.6,15.28,0.68,32.8,60618.0,-87.727096,41.937298,3986 W BARRY Ave,No,,Blue,,91.4,855.0,85.6,73.1,65.2,41.6,86.2,206.0,179.0,40.0,7.0,193.0,6.0,0.0,0.0,There are 206 students enrolled at ASPIRA - EARLY COLLEGE HS.  86.9% are Low Income Students.  19.4% are Diverse Learners.  65% are Limited English Learners.,The largest demographic at ASPIRA - EARLY COLLEGE HS is Hispanic.  This demographic makes up 93.7% of the student population.  The second greatest demographic is Black at 3.4%.,Yes,,No,No,2025.0,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60618.0,Yes,4.0,Yes,2025.0,ASPIRA Charter - Early College Prep HS,Avondale
ASPIRA Charter - Early College Prep HS,2025,Chicago Public Schools District 299,Chicago,Cook,278.0,14.7,6.8,19.0,100.0,,55.9,18.8,2.64,23.4,60618.0,-87.727096,41.937298,3986 W BARRY Ave,No,,Blue,,91.4,855.0,85.6,73.1,65.2,41.6,86.2,206.0,179.0,40.0,7.0,193.0,6.0,0.0,0.0,There are 206 students enrolled at ASPIRA - EARLY COLLEGE HS.  86.9% are Low Income Students.  19.4% are Diverse Learners.  65% are Limited English Learners.,The largest demographic at ASPIRA - EARLY COLLEGE HS is Hispanic.  This demographic makes up 93.7% of the student population.  The second greatest demographic is Black at 3.4%.,Yes,,No,No,2025.0,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60618.0,Yes,4.0,Yes,2025.0,ASPIRA Charter - Early College Prep HS,Avondale
Acero Charter Schools - Major Hector P. Garcia MD,2019,,,,871.2,,,,,,,40.89999999999999,37.16,31.000000000000007,,,,,,,,,80.672,983.9200000000001,,85.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2020,,,,689.8,,,,,,,44.932,41.932,48.10799999999999,,,,,,,,,92.344,1051.6,,87.72800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2021,,,,763.4,,,,,,,23.96,24.08,26.939999999999998,,,,,,,,,85.22,937.2,,81.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2022,,,,625.8,,,,,,,24.080000000000002,24.08,29.3,,,,,,,,,77.368,894.1200000000001,,73.70000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2023,,,,658.6,,,,,,,18.04,13.26,21.14,,,,,,,,,87.0,907.2,,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2024,,,,860.8,,,,,,,30.479999999999997,28.684000000000005,35.568,,,,,,,,,64.32400000000001,923.1200000000001,,70.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Major Hector P. Garcia MD,2025,,,,425.0,,,,,,,28.12,13.96,27.96,,-87.730467,41.809171,4248 W 47TH St,No,,Orange,,92.3,845.0,85.6,95.5,65.2,59.1,85.4,617.0,546.0,114.0,3.0,601.0,8.0,1.0,1.0,There are 617 students enrolled at ACERO - GARCIA HS.  88.5% are Low Income Students.  18.5% are Diverse Learners.  54.9% are Limited English Learners.,The largest demographic at ACERO - GARCIA HS is Hispanic.  This demographic makes up 97.4% of the student population.  The second greatest demographic is White at 1.3%.,Yes,,No,No,2025.0,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60632.0,Yes,2.0,Yes,2025.0,,Archer Heights
Acero Charter Schools - Sor Juana Inés de la Cruz,2019,,,,871.2,,,,,,,40.89999999999999,37.16,31.000000000000007,,,,,,,,,80.672,983.9200000000001,,85.196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2020,,,,689.8,,,,,,,44.932,41.932,48.10799999999999,,,,,,,,,92.344,1051.6,,87.72800000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2021,,,,763.4,,,,,,,23.96,24.08,26.939999999999998,,,,,,,,,85.22,937.2,,81.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2022,,,,625.8,,,,,,,24.080000000000002,24.08,29.3,,,,,,,,,77.368,894.1200000000001,,73.70000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2023,,,,658.6,,,,,,,18.04,13.26,21.14,,,,,,,,,87.0,907.2,,80.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2024,,,,860.8,,,,,,,30.479999999999997,28.684000000000005,35.568,,,,,,,,,64.32400000000001,923.1200000000001,,70.744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Charter Schools - Sor Juana Inés de la Cruz,2025,,,,367.2,,,,,,,28.12,13.960000000000004,24.84,,-87.684406,42.016476,7416 N RIDGE Blvd,No,,"Purple, Red, Yellow",,88.2,844.0,85.6,95.5,65.2,64.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,There is not any Demographic information for this school at this time,Yes,,No,No,2025.0,WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60645.0,,5.0,Yes,2025.0,,West Ridge
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2019,,,,2231.6,,,,,,,18.875999999999998,21.14,20.02,60632.0,,,,,,,,82.88,911.6,,78.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2020,,,,2264.2,,,,,,,16.384,15.668000000000001,21.568,60632.0,,,,,,,,82.88,911.6,,78.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2021,,,,1897.4,,,,,,,11.496,11.9,19.3,60632.0,,,,,,,,79.75999999999999,895.6,,73.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2022,,,,1902.8,,,,,,,10.7,12.120000000000001,25.06,60632.0,,,,,,,,79.75999999999999,895.6,,73.96000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2023,,,,1544.0,,,,,,,10.216,9.352,22.883999999999997,60632.0,,,,,,,,72.532,872.0,,73.888,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2024,Chicago Public Schools District 299,Chicago,Cook,615.0,25.1,9.1,10.9,100.0,,49.0,7.3,10.48,27.2,60632.0,-87.711025,41.801762,5025 S ST LOUIS Ave,No,,Orange,,90.8,872.0,85.6,88.3,65.2,54.9,83.0,554.0,504.0,87.0,1.0,551.0,1.0,1.0,0.0,There are 554 students enrolled at ACERO - SOTO HS.  91% are Low Income Students.  15.7% are Diverse Learners.  55.6% are Limited English Learners.,The largest demographic at ACERO - SOTO HS is Hispanic.  This demographic makes up 99.5% of the student population.  The second greatest demographic is White at 0.2%.,Yes,,No,No,2025.0,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60632.0,Yes,5.0,Yes,2025.0,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Gage Park
Acero Chtr Sch Network -  Major Hector P Garcia MD H S,2025,Chicago Public Schools District 299,Chicago,Cook,655.0,25.6,10.5,,96.7,,51.3,24.1,10.3,24.1,60632.0,-87.711025,41.801762,5025 S ST LOUIS Ave,No,,Orange,,90.8,872.0,85.6,88.3,65.2,54.9,83.0,554.0,504.0,87.0,1.0,551.0,1.0,1.0,0.0,There are 554 students enrolled at ACERO - SOTO HS.  91% are Low Income Students.  15.7% are Diverse Learners.  55.6% are Limited English Learners.,The largest demographic at ACERO - SOTO HS is Hispanic.  This demographic makes up 99.5% of the student population.  The second greatest demographic is White at 0.2%.,Yes,,No,No,2025.0,WEAK,Well Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60632.0,Yes,5.0,Yes,2025.0,Acero Chtr Sch Network -  Major Hector P Garcia MD H S,Gage Park
Acero Chtr Sch Network Victoria Soto Campus,2019,,,,2231.6,,,,,,,18.875999999999998,21.14,20.02,60632.0,,,,,,,,82.88,911.6,,78.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
