RCDTS,school_name,district,city,county,school_type,enrollment,avg_teaching_exp,perc_novice_teachers,teacher_attendance_rate,chronic_absenteeism,ELA_proficiency,math_proficiency,science_proficiency,pp_expenditure,zip,address_longitude,address_latitude,school_short_name,school_long_name,address_street,has_transition_program,transportation_bus,transportationel,transportation_metra,graduation_rate,sat_school_average,district_mean_graduation_rate,graduation_rate4_year,district_mean_college_enrollment_rate,college_enrollment_rate,attendance_rate_current_year,student_count,student_count_low_income,student_count_special_education,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,statistics_summary,demographics_summary,has_bilingual_services,has_refugee_services,has_hearing_impairment_services,has_visual_impairment_services,school_profile_year,safety_rating,culture_rating,school_year_readable,overall_rating_status,overall_rating,zip_right,el_connections,cta_connections,metra_connections,school_name_right
150162990250526,Chicago Vocational Career Acad HS,Chicago Public Schools District 299,Chicago,Cook,High School,578,17.4,3.6,35.4,43.8,7.6,*,9.9,,60617,-87.573268,41.737174,CHICAGO VOCATIONAL HS,Chicago Vocational Career Academy High School,2100 E 87TH St,false,"15, 30, 87, J14","","",78.1,779,85.6,82.7,65.2,41.7,80.6,564,496,155,476,75,3,1,1,There are 564 students enrolled at CHICAGO VOCATIONAL HS.  87.9% are Low Income Students.  27.5% are Diverse Learners.  13.3% are Limited English Learners.,The largest demographic at CHICAGO VOCATIONAL HS is Black.  This demographic makes up 84.4% of the student population.  The second greatest demographic is Hispanic at 13.3%.,,,true,false,2025,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60617,0,3,0,Chicago Vocational Career Acad HS
150162990250531,Dunbar Vocational Career Acad HS,Chicago Public Schools District 299,Chicago,Cook,High School,331,15.3,3.3,47.2,73.4,*,*,14.1,,60616,-87.617637,41.840226,DUNBAR HS,Paul Laurence Dunbar Career Academy High School,3000 S KING Dr,false,"1, 21, 29, 3, 31, 4","Green,Red","",81.8,754,85.6,71.8,65.2,40.7,64.7,291,278,75,282,4,2,1,0,There are 291 students enrolled at DUNBAR HS.  95.5% are Low Income Students.  25.8% are Diverse Learners.  1.4% are Limited English Learners.,The largest demographic at DUNBAR HS is Black.  This demographic makes up 96.9% of the student population.  The second greatest demographic is Hispanic at 1.4%.,,,false,false,2025,NOT ENOUGH DATA,Moderately Organized,School Year 2024-2025,Good Standing,Inability to Rate,60616,2,6,1,Dunbar Vocational Career Acad HS
150162990250534,Prosser Career Academy HS,Chicago Public Schools District 299,Chicago,Cook,High School,1163,13.9,2.8,39.5,67.9,39.0,12.0,33.9,,60639,-87.761048,41.920059,PROSSER HS,Charles Allen Prosser Career Academy High School,2148 N LONG Ave,false,"57, 65, 73, 74, 85","","",84.7,903,85.6,91.4,65.2,74.0,82.0,1161,676,198,252,884,11,5,4,There are 1161 students enrolled at PROSSER HS.  58.2% are Low Income Students.  17.1% are Diverse Learners.  34.6% are Limited English Learners.,The largest demographic at PROSSER HS is Hispanic.  This demographic makes up 76.1% of the student population.  The second greatest demographic is Black at 21.7%.,,,true,false,2025,WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60639,0,4,0,Prosser Career Academy HS
150162990250537,Simeon Career Academy High School,Chicago Public Schools District 299,Chicago,Cook,High School,1044,15.5,0.8,32.1,61.3,15.5,9.8,24.0,,60620,-87.63541,41.745781,SIMEON HS,Neal F Simeon Career Academy High School,8147 S VINCENNES Ave,false,"24, 79, 8A",Red,"",86.8,802,85.6,86.1,65.2,53.1,82.5,1064,865,175,1038,19,0,0,1,There are 1064 students enrolled at SIMEON HS.  81.3% are Low Income Students.  16.4% are Diverse Learners.  1.4% are Limited English Learners.,The largest demographic at SIMEON HS is Black.  This demographic makes up 97.6% of the student population.  The second greatest demographic is Hispanic at 1.8%.,,,false,false,2025,VERY WEAK,Organized,School Year 2024-2025,Good Standing,Inability to Rate,60620,1,3,1,Simeon Career Academy High School
,,,,,,,,,,,,,,,,-87.693075,41.770992,CATALYST - MARIA,Catalyst - Maria Charter School,6727 S CALIFORNIA Ave,false,"49, 67, 94, X49",Orange,"",87.1,0,85.6,78.2,,,91.3,536,509,76,275,244,11,0,2,There are 536 students enrolled at CATALYST - MARIA.  95% are Low Income Students.  14.2% are Diverse Learners.  23.3% are Limited English Learners.,The largest demographic at CATALYST - MARIA is Black.  This demographic makes up 51.3% of the student population.  The second greatest demographic is Hispanic at 45.5%.,true,,false,false,2025,VERY WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60629,1,4,1,""
,,,,,,,,,,,,,,,,-87.684406,42.016476,ACERO - DE LA CRUZ,Acero Charter Schools - Sor Juana Inés de la Cruz,7416 N RIDGE Blvd,false,"201, 206, 22, 49B, 97","Purple, Red, Yellow","",88.2,844,85.6,95.5,65.2,64.0,90.0,0,0,0,0,0,0,0,0,"",There is not any Demographic information for this school at this time,true,,false,false,2025,WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60645,3,5,1,""
,,,,,,,,,,,,,,,,-87.683963,41.795201,HORIZON - SOUTHWEST,Horizon Science Academy Southwest Chicago Charter,5401 S WESTERN Ave,false,"49, 51, 55, 94, X49",Orange,"",89.3,880,85.6,88.9,65.2,57.9,91.8,727,579,67,156,556,13,0,1,There are 727 students enrolled at HORIZON - SOUTHWEST.  79.6% are Low Income Students.  9.2% are Diverse Learners.  28.2% are Limited English Learners.,The largest demographic at HORIZON - SOUTHWEST is Hispanic.  This demographic makes up 76.5% of the student population.  The second greatest demographic is Black at 21.5%.,true,,false,false,2025,WEAK,Not Yet Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60609,1,5,1,""
15016299025042C,Noble St Chtr-ITW Speer Acad,Chicago Public Schools District 299,Chicago,Cook,High School,1127,6.1,14.1,100.0,36.4,41.9,21.9,41.7,,60639,-87.769808,41.92563,NOBLE - ITW SPEER HS,Noble - ITW David Speer Academy,5321 W GRAND Ave,false,"65, 74, 76, 85, 91",Green,"",90.5,906,85.6,92.3,65.2,80.0,91.0,1091,962,165,82,981,21,0,5,There are 1091 students enrolled at NOBLE - ITW SPEER HS.  88.2% are Low Income Students.  15.1% are Diverse Learners.  43.4% are Limited English Learners.,The largest demographic at NOBLE - ITW SPEER HS is Hispanic.  This demographic makes up 89.9% of the student population.  The second greatest demographic is Black at 7.5%.,true,,false,false,2025,WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60639,1,5,1,Noble St Chtr-ITW Speer Acad
,,,,,,,,,,,,,,,,-87.645577,41.906879,NOBLE - ACADEMY HS,Noble - The Noble Academy,1443 N OGDEN Ave,false,"37, 70, 72, 8, N9","Blue, Brown, Purple, Red","",94.7,877,85.6,87.1,65.2,84.7,86.7,389,302,58,212,157,8,6,1,There are 389 students enrolled at NOBLE - ACADEMY HS.  77.6% are Low Income Students.  14.9% are Diverse Learners.  21.1% are Limited English Learners.,The largest demographic at NOBLE - ACADEMY HS is Black.  This demographic makes up 54.5% of the student population.  The second greatest demographic is Hispanic at 40.4%.,true,true,false,false,2025,VERY WEAK,Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60610,4,5,1,""
15016299025079C,Aspira Charter - Business and Finance HS,Chicago Public Schools District 299,Chicago,Cook,High School,421,6.0,8.1,100.0,59.3,16.0,*,16.0,,60618,-87.718204,41.935726,ASPIRA - BUSINESS & FINANCE HS,ASPIRA Business and Finance,2989 N MILWAUKEE Ave,false,"53, 56, 76, 77, 82",Blue,"",80.8,826,85.6,71.3,65.2,44.1,83.1,339,306,80,17,313,4,0,1,There are 339 students enrolled at ASPIRA - BUSINESS & FINANCE HS.  90.3% are Low Income Students.  23.6% are Diverse Learners.  53.7% are Limited English Learners.,The largest demographic at ASPIRA - BUSINESS & FINANCE HS is Hispanic.  This demographic makes up 92.3% of the student population.  The second greatest demographic is Black at 5%.,true,,false,false,2025,WEAK,Partially Organized,School Year 2024-2025,Not Applicable,Inability to Rate,60618,1,5,1,Aspira Charter - Business and Finance HS
